종류,상호명,주소,위도,경도,한줄평
한식 ,밥내음,서울 광진구 동일로30길 50,37.54752,127.06991,5000원으로 즐기는 가성비 도시락
한식 ,세종대 학식,서울 광진구 능동로 209 학생회관 지하1층,37.55188,127.07364,건대 최고의 학식!
한식 ,알촌,서울 광진구 능동로16길 48,37.54523,127.07569,저렴한 가격으로 최고의 알밥을..!
한식 ,위락밥집,서울 광진구 능동로16길 50,37.54519,127.07581,건대 후문 대표 밥집
한식 ,원조순대국감자탕전문,서울 광진구 능동로 13길 69,37.54484,127.06911,뜨끈한 국밥 한사발을 원한다면?!
한식 ,돕감자탕,서울 광진구 아차산로 31길 9,37.54161,127.06926,여러 종류의 감자탕을 먹고 싶을때..
한식 ,원조자양감자탕,서울 광진구 아차산로 309,37.53841,127.07746,찐또배기 원조 감자탕이 먹고 싶다면?
한식 ,황소식당,서울 광진구 아차산로 297,37.53864,127.07637,백반이 땡길땐 황소식당이지!
한식 ,굴다리전주콩나물국밥,서울 광진구 자양로 160,37.54208,127.08416,술먹고 해장할땐 콩나물 국밥이 제격
분식 ,아찌떡볶이,서울 광진구 화양동 34-5,37.54339,127.06906,유퀴즈에도 나온 소문난 떡볶이집!
분식 ,마약떡볶이,서울 광진구 능동로 141 1층,37.54358,127.07208,도핑이 필요할 때 떡볶이 한 입!
분식 ,골목에 골목,서울 광진구 아차산로 33길 51-4 ,37.54286,127.07064,가성비 좋은 떡볶이+피자?!
분식 ,불난떡볶이,서울 광진구 능동로 16길 51,37.54531,127.07583,"왜 이리 화가 났어,, 매워?!"
분식 ,우동연가 화양점,서울 광진구 능동로 19길 27,37.54722,127.0723,"이렇게 가성비 좋은 우동이 없었지,,"
분식 ,은혜즉석떡볶이,서울 광진구 광나루로 381-1,37.54826,127.07231,"짜장떡볶이, 엄청 유명한 거 알아?"
분식 ,꼽사리떡볶이,서울 광진구 아차산로 29길 71 영일빌딩 1층,37.54409,127.06951,어릴 적 학교 앞에서 먹던 떡볶이 맛이라구!
분식 ,행컵,서울 광진구 능동로16길 54 1층 우측,37.54537,127.07598,간단하게 한 끼 식사할 땐 최고야!
카페/디저트,꼬메노,서울 광진구 군자로 7길 29,37.54567,127.06913,조용한 골목에서 힐링 한 번?
카페/디저트,도쿄빙수,서울 광진구 아차산로 31길 45 1층,37.54319,127.07006,여러가지 과일빙수를 맛볼 수 있는 빙수 맛집
카페/디저트,띵똥와플,서울 광진구 능동로 13길 10,37.54268,127.07148,술먹고 와플 먹으면서 일감호 산책하는거 국룰
카페/디저트,뺑드램,서울 광진구 뚝섬로 599 ,37.53332,127.07651,빵덕후들은 가보면 후회 안할 걸 ㅋㅋ
카페/디저트,최가커피,서울 광진구 능동로 13길 23,37.54315,127.07068,"아메리카노가 이렇게 맛있는지 처음 알았어,,"
카페/디저트,아오스요거트,서울 광진구 능동로 153,37.54457,127.07241,건강한 요거트가 먹고 싶다면?
카페/디저트,요미스라이스요거트,서울 광진구 능동로 133-1,37.54309,127.07177,흑미를 넣어서 요거트를 만든다고?!
카페/디저트,Index,서울 광진구 아차산로 200 3층,37.54103,127.06607,책보면서 커피 한 잔 할래요~
카페/디저트,트리안,서울 광진구 아차산로 29길 8 1층,37.54141,127.06834,마카롱은 이 집 못 따라올 걸?
카페/디저트,카페온더플랜,서울 광진구 능동로 161 1층 카페온더플랜,37.54535,127.07276,과제할 카페를 찾는다면 카온플이지!
돈까스/회/일식,포세이돈초밥,서울 광진구 능동로16길 30 101호,37.5449,127.07488,"좋은 가성비, 좋은 초밥!"
돈까스/회/일식,가츠시,서울 광진구 광나루로 418,37.54652,127.0757,맛있고 양많고 가격도 싼 돈가스를 먹고싶으면?!
돈까스/회/일식,호야초밥,서울 광진구 능동로13길 36,37.5437,127.07042,개발자피셜 건대 최고의 초밥 맛집
돈까스/회/일식,은호초밥,서울 광진구 동일로20길 83,37.54021,127.06807,이건 못 참치 ㅋㅋ
돈까스/회/일식,아오리의 행방불명,서울 광진구 동일로20길 55 2층,37.54089,127.06677,"혼술, 혼밥이 땡긴다면?"
돈까스/회/일식,부탄츄,서울 광진구 동일로22길 117-14,37.54136,127.07085,"이런 가라아게, 처음이야,,!"
돈까스/회/일식,츠바메,서울 광진구 동일로30길 12 1층 츠바메,37.5477,127.06773,"라멘 집인데, 돈부리까지 맛 볼 수 있어!"
돈까스/회/일식,혼다라멘,서울 광진구 광나루로 385 1층1호,37.54827,127.07266,라멘에 튀김까지 같이 준대!
